Dataset Size,Average Hash Generation Time (seconds)
100,0.04026447200158145
200,0.07345365266519366
300,0.1071970553311985
400,0.16895698633258385
500,0.16978818066612197
600,0.2326822220008277
700,0.2664415693337408
800,0.3040473196670064
900,0.33271252799992607
1000,0.3708507916671806
