,100,200,300,400,500
run_1,156.114655,591.768583,1349.1783110000001,2391.368962,3621.479289
run_2,154.94666899999999,581.369824,1344.849428,2367.649573,3624.004029
run_3,157.125717,582.559259,1335.278157,2360.5934570000004,3625.5188359999997
run_4,156.108435,579.723763,1339.20721,2397.41576,3601.435693
run_5,155.206758,575.034308,1344.143307,2377.515422,3610.0896119999998
run_6,155.632994,577.985138,1339.4189279999998,2367.126865,3617.4412039999997
run_7,155.259761,571.3987430000001,1344.724188,2362.550051,3620.0926449999997
run_8,155.799392,575.558216,1335.9616350000001,2367.5654,3618.617166
