,R_AAA,R_ABE,R_ADO,R_AED,R_AEI,R_AGB,R_AGS,R_AHN,R_AIQ,R_AJI,R_AJY,R_AKC,R_AKF,R_AKQ,R_ALR,R_AMJ,R_AMZ,R_ANQ,R_ANT,R_APE,R_APY,R_AQI,R_AQK,R_ASN,R_ATG,R_AUD,R_AUF,R_AUK,R_AVI,R_AVP,R_AVR,R_AXN,R_AYM,R_AZX,R_BAF,R_BAH,R_BAN,R_BBG,R_BBU,R_BDL,R_BDR,R_BFS,R_BHA,R_BHI,R_BHP,R_BIF,R_BKQ,R_BKY,R_BLB,R_BLD
R_AJY,0.6240891451519388,0.41021678611687484,0.853305276319934,1.2763254827598114,1.115542146537462,0.5094260255648724,0.6845005589958747,1.1617490315797534,0.8497156858225253,1.2151315883265195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AKC,1.0850176979069701,0.6585597383924542,0.8302890157446665,1.2529057931150476,1.0932643214172306,0.5004885399877156,0.8816924209222633,1.4999494563765055,0.38839488490912644,1.6804405713019532,0.5648317264046587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AKF,0.6560917832625835,0.5331779065693801,0.7680290849284683,1.1778092218011738,1.1354620018192498,0.7309446419122136,0.13785143339137912,0.8593545649337907,0.9643463772055317,1.0154037594519858,0.6572908114336401,0.8796222386052525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AKQ,0.7376149051899391,0.4454437369152432,0.9325420488021181,1.4042930325912555,1.2395200683965113,0.6869098077809648,0.6347324083409662,0.9948056624030798,1.0914013475541489,1.0571777707212648,0.5222107528788145,0.6870550628909725,0.5709674415849988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_ALR,0.4485899147279232,0.9515811530373546,1.814419363914531,2.2950741137566126,1.1919960091886004,1.1902460266306838,1.0644891040325695,1.0805009745330854,1.9566284049813976,0.6274011267798851,1.2452665775046126,1.6684437993138226,1.1417673286312975,1.3235405961873385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AMJ,0.5337669809014162,0.42526885106284174,1.1500157280549594,1.6160466230840485,0.6053155986999358,0.4309249848506567,0.6795018493134977,0.9352233754104038,1.0005553248705135,0.9638902999194079,0.5424575774436735,0.7470140519111911,0.7133193090398162,0.7570168981748575,0.9359107088303266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AMZ,0.6596201325258825,0.6034679094765972,0.9246819114235725,1.3482522835331598,0.7129985899028007,0.9767477233988816,0.5970939883866896,0.9438345765886104,1.297458834788587,1.0993173304854305,0.8949575086394743,1.1556270433226996,0.6106494288922427,0.8282949735489963,1.0117557524353409,0.7608293721389823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_ANQ,1.5377604106955514,1.4627371281584867,0.8159387728227383,0.8581232600700248,0.9483217505372384,1.490049251449725,1.3253429288698733,1.9820231061421867,1.0264052739978249,1.904906210644549,1.4944907069904174,1.3115751724743656,1.4185581474634876,1.7130046111279755,2.103147239392393,1.321407714490042,1.1076591470652417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_ANT,0.611263522563826,0.607923224098472,1.5336589360264128,1.9840142975535457,0.5362583201188784,0.9296486702314979,0.7199431202641495,0.784076679493118,1.5196891908771017,1.0993571031782607,1.0466659420505418,1.2613732135895104,0.8836605262326517,1.0731370088408232,0.8360466406429394,0.43595960435174075,0.8111410426243421,1.5036392837034938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_APE,0.5408475667868252,0.8214095415983999,1.770896813276043,2.2539199150689972,1.005636277920575,1.2925222176634348,1.0926399495352377,0.9570965700411806,1.9798260809451405,0.6573900588067714,1.4034990754087548,1.8124368665109007,1.1457293554766854,1.2273371588966133,0.32980083298695495,0.9122253957817223,0.884385239361553,1.855710731794273,0.6862128959289873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_APY,0.7720117706755614,0.533372533057446,0.9623890055001756,1.4621561291458323,0.7591210428805459,0.6021074686302548,0.9030876668258159,1.2863371947508593,0.8849821210842446,1.4178834633752908,0.5234928288297895,0.5510338450037114,0.9031839199208909,0.6934192742013228,1.242074640729578,0.6497966981753113,0.6579391108070012,1.3796228961361807,0.9432241687816916,1.2443710179999687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AQI,0.8507381052688365,0.7691870178696365,1.0103684479622637,1.407517087564352,1.4188291158216073,0.682475972432719,0.3506034251001946,1.0783771929584585,1.0704362509365328,1.0962251077768908,0.6923504235487549,1.0343338086078986,0.4473092657117508,0.7998124435493282,1.2963913104067686,0.7828762695847995,0.9355841130044994,1.7145278859441517,1.1282133706955362,1.359464889906243,1.130258032992412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AQK,0.7137752790745668,0.623385243906786,1.2067368444683646,1.6667547840818113,0.45782599103675625,0.711465397324428,0.8960056792702314,1.170005027071761,1.1340284780088952,1.302578485162453,0.8300363506072417,0.8163692212113195,0.9130134696892633,0.9148160361844198,1.0348282647174354,0.4076757802613067,0.5913935934791871,1.2948894200913021,0.6465237623958011,0.8989829152433628,0.30788655878251736,1.1983879642649147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_ASN,0.8234792077675719,0.6168623768183659,1.0909628087662242,1.5387735255234545,1.3639151008454826,0.898993518927116,0.5871473348742893,0.8145484359789256,1.3317592668457834,0.7252361387490506,0.9214683339697961,1.2458110630990158,0.5440893513637218,0.5792544701986065,1.2714342553934839,0.9273348455874655,0.892447618809348,1.7585138233553246,1.114102765416879,1.1412569664511305,1.1251548669801623,0.7205936085252329,1.1676602315779616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
