,K_ABP,K_AFB,K_AFI,K_AFJ,K_AGF,K_AGH,K_AGL,K_AHV,K_AIA,K_AID,K_AIE,K_AJL,K_AKF,K_AKG,K_ALX,K_AMC,K_AMI,K_ANF,K_ANI,K_API,K_APJ,K_AQB,K_AQE,K_AQN,K_AQU,K_ARL,K_ARU,K_ASX,K_ATK,K_AWC,K_AWX,K_AXF,K_AYP,K_AZM,K_AZU,K_BAM,K_BBX,K_BDE,K_BES,K_BHH,K_BHO,K_BHQ,K_BIP,K_BIQ,K_BJU,K_BJX,K_BKM,K_BLA,K_BLJ,K_BLU
K_AIE,9.703907203907203,9.562881562881563,0.7329195664064263,0.3308913308913309,1.89010989010989,1.8186813186813184,1.89010989010989,1.8186813186813184,0.14835164835164835,1.8186813186813184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AJL,8.354700854700855,8.23931623931624,0.6996457070279889,2.08974358974359,0.07142857142857142,0.07692307692307693,0.08333333333333333,0.0,2.0512820512820515,0.07692307692307693,1.8186813186813184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AKF,0.07692307692307693,0.0,0.5247778438799736,9.547008547008547,8.189865689865691,8.47008547008547,8.162393162393164,8.23931623931624,10.222222222222221,8.47008547008547,9.562881562881563,8.23931623931624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AKG,0.15384615384615385,0.07692307692307693,0.5231803997905168,9.848290598290598,8.118437118437118,8.316239316239317,8.213675213675215,8.297008547008547,10.068376068376068,8.316239316239317,9.634310134310136,8.297008547008547,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ALX,93.75523702303887,95.6964134936271,3.1627977110421286,90.8931553482637,89.81444922466594,88.44602817203435,85.18287027729752,86.7091860667712,94.07736587457948,88.44602817203435,93.45197887767547,86.7091860667712,95.6964134936271,94.17009770415342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AMC,125.68846153846154,123.70769230769231,1.6493584607086815,126.82820512820513,134.06623376623378,136.24755244755244,138.61818181818182,138.12575757575758,127.99230769230768,136.24755244755244,127.84029304029303,138.12575757575758,123.70769230769231,125.68846153846155,7.203791564472678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AMI,48.7334501046076,49.600116771274266,4.0875140358942526,46.38480513793607,46.92991290809128,46.31700968228483,44.86539677905902,45.54281613389773,47.993407288473705,46.31700968228483,47.77405244976403,45.54281613389773,49.600116771274266,48.922697416435554,17.931061158954897,17.486245316985354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ANF,46.40814479638009,46.40814479638009,0.30323444952490863,49.88295625942685,49.84917043740573,49.496229260935145,48.14328808446456,48.7315233785822,51.455505279034696,49.496229260935145,50.90346907993967,48.7315233785822,46.40814479638009,46.40814479638009,71.74220980258131,57.879638009049785,32.0836130978446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ANI,22.337606837606838,22.017094017094017,0.171460892581286,30.44871794871795,29.23015873015873,29.675213675213676,30.80808080808081,30.194444444444443,29.179487179487175,29.675213675213676,29.157509157509153,30.194444444444443,22.017094017094017,22.40811965811966,16.233873453687696,25.21818181818182,9.203444752590864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_API,17.664558374442095,17.975669485553205,2.335663260835899,17.088548273431996,16.807863518910032,16.674530185576696,16.18564129668781,16.385641296687808,17.559760394644115,16.674530185576696,17.359760394644116,16.385641296687808,17.975669485553205,17.77566948555321,36.72361404745126,18.79584214235377,41.430766972046044,0.43567653276955604,0.16315480385247827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
