,R_ABU,R_ADV,R_AFZ,R_AKK,R_AKY,R_ARC,R_ARU,R_AVB,R_AVD,R_AVF,R_AVK,R_AWU,R_AZS,R_BCU,R_BDC,R_BFS,R_BML,R_BNG,R_BRF,R_BTH,R_BUX,R_CAV,R_CCJ,R_CCQ,R_CCZ,R_CDU,R_CEX,R_CFV,R_CIV,R_CNH,R_COQ,R_CPD,R_CRC,R_CYW,R_DAQ,R_DDN,R_DGV,R_DJT,R_DOY,R_DUB,R_DUV,R_DVK,R_DYX,R_EBK,R_ECN,R_ECP,R_EDS,R_EDX,R_EFS,R_EHK
R_AVK,1.8146870628039955,1.5550263765375094,0.4705194000665612,0.8641221045218422,0.8701606427743822,0.543496736423963,1.383798077370895,1.859172581239396,2.563121491394043,2.210008702951362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AWU,2.7409831788088828,2.085927665515989,0.6191099793309661,2.7130647698680033,3.154506353817301,2.2920122675530195,2.6403650466759605,3.029002381828945,1.310844162437581,2.0944600584561437,1.2128453446972762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AZS,2.8303938969696594,3.4998647450148637,1.8903985280254583,3.084880894280413,0.9414717782860884,1.1801181692734894,2.0277511515074313,4.804763589813543,6.628523154068841,4.642369973417208,1.634093035714031,5.376814114848823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BCU,1.368580498053875,2.8239864595471285,1.5567768714626464,1.7293475821501403,0.4763472313700502,1.3707581283756574,1.02230061112355,1.960071564693081,2.192749946794649,1.5801935828923792,1.4337676091767142,3.536205313970387,1.3531379254509885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BDC,4.552946861521418,1.2029551137983487,1.4989830671113076,5.131393060991557,4.5664495225396085,3.918846625723301,4.737895372080149,7.386035136589211,10.327691364230498,7.715539963348596,2.309975644463992,4.066207740018311,5.884884323675479,5.167559840406088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BFS,3.5084578832921873,1.5148364993065997,1.0088279703809186,3.2412470706976038,1.5126553245809349,0.9613774208497186,2.5272757745679835,5.673515493673126,8.529007939065323,5.9807621482288065,1.346606160487303,4.215440129610977,2.0053500931400485,2.678187796751255,1.5734344730849412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BML,2.3413369824534676,1.2247847592906986,0.7293417253018291,2.617698064066904,1.3606259104445673,1.15660510174221,1.8422594962155023,3.885258997094405,5.876959589582324,4.618183860217402,0.9803025866924943,1.0633735209602349,2.360076989742704,2.453743702330059,2.3922476372121357,1.2788847988620085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BNG,3.5763145254280593,1.1832365803037248,1.1131651885659013,4.957575902090908,2.1738317389468222,1.7611436710920956,2.7618715715805755,6.754737542544881,9.927827116322854,7.752908869429859,1.7883674302475467,3.4958247718274924,3.2072760354539342,3.768233566666887,1.543093988336085,1.389088866308968,0.8854987258786273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BRF,2.081737872631501,2.7659632583655287,1.3155895743335106,1.2733164081933064,0.32340111821764955,0.5202668388040275,1.401493864651748,2.1907440523607065,3.714473613265379,2.884381849597741,1.0005436193937562,4.044383772783779,0.9286270204721807,0.84455744668121,5.215398242428341,1.5149515297758513,1.3379054482065318,2.134537507044603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BTH,2.7616650850406352,1.53323779631471,0.5179572949926047,2.7658657028839997,1.997770358101095,1.6574973733701275,2.2487162423392775,3.880119924137142,4.632632318741478,3.995106861883935,0.7279293013799977,1.6998663891966943,2.7586457967254,2.613043709525731,1.750847969049908,1.5798095400688126,0.9974003903411262,1.5226431936365141,2.2002030786498548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BUX,2.8256313305688736,1.2057262500341508,0.7432965684459069,2.017380846876494,1.9131956497670144,1.3900508674587075,2.5307905834708913,1.6285483989361538,3.393387415978249,3.4564388998181688,0.9970199635513439,1.4615952344690044,3.3654118162505786,2.71198218247076,2.538128246836402,1.6351136289691763,0.5340373575389143,2.6720502324891626,2.420858636845773,1.260565108922887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_CAV,4.243811546963363,1.3255428070832067,0.8924836667732761,4.709431192292566,4.145603661729395,3.5345767844198726,4.356909418358006,6.468376725755668,8.039949799898928,6.568826145134963,1.8216943317895395,3.1797628598176426,5.4615025846740695,4.754883273351578,0.5145492370232668,1.4971446120291139,1.967254876083767,1.4575976453598207,4.785345077601853,0.9203855210334773,2.140532072501223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_CCJ,2.272772205597197,2.658523589015091,1.8278219529947661,1.9001868436695064,1.209812359680332,0.89033763536144,2.5942428674390534,3.309830566011203,4.222561416186008,3.0102444592335003,0.5914533150425693,2.7097169867023023,2.6838545721189675,2.0437582637876783,4.048079791735656,2.1129501697339976,2.233407725590283,4.6554000575370775,1.7437465748113956,1.5190400993608162,1.8843412485339315,3.3174062898933676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_CCQ,3.749149408892753,1.0193135449367248,1.082936786093822,4.257866302034106,2.7095445263860896,2.2338141425381908,2.840510656889061,6.616197155926403,9.51608267005761,6.8349699255671705,1.828923770943071,3.7586861581644317,3.468377182691917,3.433160147838842,0.35318620306409104,0.7589963607544774,1.6216328285432715,0.9332407688735163,2.943278959137157,1.5727091470565546,1.912258992829773,0.6067048685557979,3.139749372104815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_CCZ,1.3460995650901046,2.8139662351327233,1.4810452940814773,1.8996926267177732,0.8631352327972787,1.3470066501826257,0.8630826263671749,2.080904818964253,2.3272644867019623,1.7797322646940774,1.3918410868125168,3.6843840724757824,1.2181622963375023,0.22891343087315044,5.164481697582902,2.1109366162926326,1.761474378632048,2.5179322658531245,0.9847011567801915,2.4414489449988945,2.7481603614813865,4.759943053620039,2.0379915043413077,3.187691118749446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_CDU,1.2775102593163639,1.7896333717079105,0.687636000406712,0.84861024198144,0.7790739532498023,0.8289010663257427,1.0020532681793497,0.7306340914512887,1.0284868952462958,1.326935850973894,0.4988677232919128,1.0756673611764043,1.6833643772278923,1.2231083041315125,3.619121039823987,1.473644071855662,0.637307418997368,1.3975173977021693,0.9022291217172489,1.207160406638639,1.2369140300512467,3.119906992391237,1.3039768236287714,2.3176448948109734,1.1552509135939597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_CEX,2.0080889825714197,1.9313158371165313,0.9511845934824399,0.4144647680271362,0.7760471305029384,0.1419527646876419,1.4696411180833822,1.6632911716419438,2.9876516114075855,2.4612757853539278,0.38032164159566817,1.8028207156929483,0.9902094852212578,1.4130311523316816,3.8883744820759496,1.0728869687491611,1.142432760019061,1.7606917152323869,0.5042775659336404,1.6133835244291332,1.352582658096503,3.48640008450571,0.854222713872284,2.2572656493673318,1.2833654879772856,0.7471380692041072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_CFV,2.1321875142756364,3.6957783218903515,2.4085420570899605,2.2445310421170994,0.5298252918808245,1.8572821586162271,1.6506392916886246,2.3629227689596672,3.042378039007587,2.6610879158194156,2.1033395171361775,4.251926705716421,1.4823703409712354,1.0283532788895855,6.21759641288651,3.758483810139874,3.1189414958532633,4.845732449158695,0.7158018192456586,3.509615436560756,3.3999719784653157,5.737495249942743,3.179609128043172,4.675741041210661,1.1209398196860227,1.667043865134601,2.035960677720609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_CIV,0.6491468658687597,2.1288180634732616,0.8515790565437755,1.4006696122818518,0.8929152356975912,1.1622898691908783,0.7478354662393212,1.0293735666391153,0.7636223376248451,0.4567234404233061,0.9289281253774214,2.2388631308540385,1.7906603104861134,0.7205279970792201,4.173857766300065,2.090037768025806,1.837888495055537,3.053097020765366,1.2028933354566969,1.904610186822773,1.987344801841731,3.804837260780908,1.2306952201773775,2.6768578545202084,0.8958863331430761,0.8224164752809396,1.123551320950507,1.605902745306967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
