,R_ABU,R_ADV,R_AFZ,R_AKK,R_AKY,R_ARC,R_ARU,R_AVB,R_AVD,R_AVF,R_AVK,R_AWU,R_AZS,R_BCU,R_BDC,R_BFS,R_BML,R_BNG,R_BRF,R_BTH,R_BUX,R_CAV,R_CCJ,R_CCQ,R_CCZ,R_CDU,R_CEX,R_CFV,R_CIV,R_CNH,R_COQ,R_CPD,R_CRC,R_CYW,R_DAQ,R_DDN,R_DGV,R_DJT,R_DOY,R_DUB,R_DUV,R_DVK,R_DYX,R_EBK,R_ECN,R_ECP,R_EDS,R_EDX,R_EFS,R_EHK
R_DUB,1.9489402681808286,2.9256661537285713,2.1172652366992017,1.1653604500239407,0.3959282628103402,1.075795772943625,1.5619167200211843,1.1724894260799628,2.232300129693273,2.2197390951800555,1.4539875058689389,3.4113412270081156,2.308665865158888,0.9880225828538102,5.114394705856766,3.1486384943508967,2.5455157855245276,4.383847922706468,0.6503121962710551,2.9122666074880925,1.8301845742753187,4.705445787720121,1.9886172007992076,4.106495782348408,1.2466283819684838,1.060829727212411,1.372702350903313,1.1004449494082333,1.2113782826009634,3.5384935768427788,1.9668509970015045,2.0809232480587525,0.8801285028594236,1.383355565163465,1.0478049255586541,2.4873183244544563,2.4686192161151763,2.2369287554033166,1.8970861112433923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DUV,1.6955257706854678,3.6174615085315156,1.9853452079540694,3.920195966034391,1.156369606446853,1.9362508192792451,1.2848668078079275,4.2330981300052075,5.670301637992281,4.443560247117441,2.032866048701775,5.335419669014979,1.5564148040298778,1.595454282729032,6.856402150503358,2.6822784775695645,2.2241632867223413,3.1628429808914307,1.320543542748323,3.1612231673203137,4.427018335715929,6.425827406057617,4.996190042953683,3.9917678671830186,0.8623944007059692,1.6496803827062072,1.931518568455255,1.775698270652263,1.9437595301976782,4.345271455991715,2.5705905307827477,3.900096136914237,3.0636284453192575,1.176006714737482,2.8018322801780355,5.145792927672066,2.831068317235657,4.107755628316331,3.767746566656383,2.589787704253129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DVK,3.0039255951926713,0.8145266919209314,0.8363469733301285,2.8868045793123223,2.042536033452702,1.594220304813842,2.3175226801993705,4.668503606746662,6.720751958446972,4.799344269527813,1.473785067344639,3.300358216072181,2.770017763339271,2.673273918419722,0.5029184679618713,0.6491703939008456,1.1726065332360294,1.1979974883088034,2.221566595278235,1.378599624689894,1.1474114736937562,0.4753952612424382,2.059743432269088,0.2134840881682301,2.5317133601356763,1.7671415322614954,1.6268097652468403,3.7056397138809696,1.9606744188911491,4.268565144907828,1.321661832825028,1.4536122665419176,1.5726764662811574,1.893345583115657,3.8589727497423136,2.6354001864277885,0.9359633003078317,1.500706093707429,2.362919771563883,2.8835666399411415,3.3124774932846477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DYX,1.167564500439276,2.9564342727767667,1.8783983434844636,1.0013281899685311,1.426861782856419,1.0383721841164908,0.7090204432750927,1.6468803359049204,0.9737286328064669,0.6933812940977578,1.3491948857292255,2.6850305587514343,4.002305738028899,1.2774592598590315,6.629851445635803,4.700300986380137,3.7123280228651403,6.865792172858166,2.0784690275694095,3.3420751544961234,2.893559754993602,5.882022535037382,2.4183406029022447,5.583565358934011,1.5119270845528927,0.8292440289638827,1.4459809110501285,2.2802821600728884,0.6838453808571798,3.663813772505414,1.264052155522042,3.0000232437355803,1.383764983267577,0.4654962191558658,1.3030805382169255,1.6988648991549835,3.136348573195911,2.836844233127595,0.9482669993055871,1.8300497381617558,4.349777235455717,3.6806629914860816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_EBK,3.0668461734281833,4.361402571269395,2.381041540662821,4.048547176684292,1.1692395903758106,1.706845950697678,2.28703551847354,5.061051347140756,7.411195621564781,5.901916412645923,2.1534159376016206,6.601653760444315,1.0074865517280567,1.9589186434810315,7.97584731886467,2.762396346353661,2.4803056018883143,3.453831305647938,1.0961715232564349,3.5086153161433127,4.883299438232858,7.43594921779492,4.914594976710398,4.539489653347657,1.3031173990971845,1.8504918828931314,1.6430430232812194,1.4551637579065897,2.575340010209723,6.079593927899162,3.13311597791775,4.060989217203359,3.026968845822846,1.6782296827011607,3.17988025104626,5.150119861837827,2.9756781958494254,4.654095523585303,4.696420513062046,2.620534609730428,1.1026056755234597,3.733134410731132,5.3962930463047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_ECN,1.0951963677804792,3.6833893038313024,2.193236713428921,2.5702133489405425,1.6050893002141835,2.4290211508661543,0.9024811580517721,2.2343673075308277,2.4952180587016075,1.9856399485356426,2.6356783024776043,3.9393177190542272,2.8449772630704633,0.7301166834303146,5.870866646710969,4.824156844662337,3.6047824872336958,5.243478813209192,1.7690767705676367,3.9111241265725165,3.5764826564273706,5.492788836628105,3.6075828133234378,5.372121529952795,0.7359636332090733,1.800748247603209,2.6943216053542347,1.514733637679908,1.2590596184171465,2.3670385851632085,2.3139916329860424,3.6664989284605025,2.663263535361262,0.6726554727303493,1.1331563688701218,1.641428631500711,3.9599093552194016,3.36651298579518,2.3959597865928783,1.7247634428414507,1.3430471081277005,4.238806754006451,1.9177766865182293,2.5515098956846676,0.0,0.0,0.0,0.0,0.0,0.0
R_ECP,1.8682408597059479,1.9456829342921858,1.558397466370855,1.104967284442063,0.39366201457006356,0.7096094037005425,1.425251998294838,1.6527732696213893,3.1903090679380712,2.6834462966888153,0.9475325519817765,3.1371905176891683,1.6983521593594257,1.104108705304906,3.701537583006699,1.6671228277172354,1.3147923258869738,2.421753205121777,0.5551466281205955,1.971224295132144,1.0839586425955212,3.335886922553115,1.2508640501938462,2.562180772390072,1.3193348502473428,0.7594198156920681,0.8367021638061447,1.0527230940318208,1.2109473573636536,3.5263971151057283,1.3312999607106455,1.1599158447300988,0.5646556309256158,1.1098504782394856,1.1723321924919363,1.8674940145301238,1.5938430104049843,1.6280812924814172,1.7488157553448784,0.14062600903235573,1.7609682431232745,1.470702812229669,1.807338883723695,1.7246315854036376,1.3109074769170321,0.0,0.0,0.0,0.0,0.0
R_EDS,2.4543055007943066,1.183911446502885,0.9302188951272867,1.7604007707929437,1.0847599970489612,0.7232530613285544,1.8045175170011973,3.367643753532728,5.185967783082872,3.6431743974827215,0.9670274438877374,3.10939344547259,1.7465443675721206,1.7851607751380862,1.6674750416890958,0.5838830097011348,1.006570697892608,1.3182678119000166,1.127983308254503,1.5459753008141697,0.9119118090882053,1.4908286613053776,0.9409927448666731,0.8353613006684745,1.6712762710372093,1.1262407033207933,0.7719490966552368,2.652432994544089,1.2547063103803906,4.248339799435956,1.0110665757963884,0.9232945677851833,0.7914788103538054,1.2661989642476092,2.6882198060091484,1.474493823025342,1.0124648832745575,1.325961324804489,1.6983946462196313,1.7615818829428433,2.186226891196576,0.292161426251384,2.473809825139546,2.337286603370693,3.364566475576771,0.8552875370789212,0.0,0.0,0.0,0.0
R_EDX,2.8490656210511487,1.7846777831086182,1.4093427018015667,1.2194341612022028,1.2180140215600967,0.8813563404453543,2.324531594701949,1.8752794223358489,3.8718851580136167,3.40280033583956,1.3811890502802606,3.3751177554544447,2.2643066619019234,2.266367930928683,3.1206587492850613,0.6906553185508348,1.4068752720122106,2.4904507791047816,1.548071942893579,1.8431582478397621,1.2220188919625912,2.819203555070682,1.5327681184605684,1.689039305428105,2.2798890903322895,1.480548598392681,0.960411678632154,2.8335395241921884,1.8300289254899875,4.220345430504927,1.2916313439656801,1.1255594869148273,0.5446178743553612,1.842535116030797,2.5493941718652455,2.1038022470153024,1.0734944327988782,1.7288949758759635,2.0145226598634065,1.0614754665309751,3.505094171470307,1.0457649976142411,2.2540517267825813,3.509139102342782,3.3408305453575,0.6697102758745104,0.6206594013970459,0.0,0.0,0.0
R_EFS,1.8158682429223232,2.4886479969806135,1.2920717577329934,1.548130973283332,1.5705438869133117,1.2531221974269218,1.368208036494692,2.3252044022497427,2.4219626156578355,2.141269515408166,0.8276743027770344,0.6497736198125365,2.478814967724626,1.0977881064837207,4.442450044671697,3.0638658321381005,2.0808220639141606,3.965268638399948,1.8109912540550606,2.0974870848510703,2.04563082536148,3.95699825457098,1.9028929348730848,3.7679277957277715,1.1200804067193724,1.070053176513474,0.9246750394829641,1.7608327963224113,1.2197741822643504,3.074046852386124,1.0851938851711451,1.7627982866604808,1.5195790823403086,0.7952328615494804,1.0095531517651164,1.3895062395794358,2.0357143102087254,1.4188701481719697,1.2542811175249908,1.8573747240997016,3.0076764842951724,2.826746016180123,1.3994754496588975,3.333998427630173,1.9868766337110033,1.816632766446887,2.037095163587726,2.3686552248592987,0.0,0.0
R_EHK,1.5144732104115222,3.0897686820299937,1.9484716115277236,1.781082378009683,1.2469907670787839,1.8000118735326536,1.389344608430868,1.1578345099150515,1.7570392809627366,1.8689162972389795,1.9824554357988722,3.0100948260665548,2.7651032498175643,1.4593147328661087,5.433591705213075,4.06969948122388,2.735934073397239,4.3902326853591855,1.3816866355680795,3.196727402247642,1.6407408804305483,5.003128872319147,2.9052347555461306,4.738065697620593,1.2332063280291614,1.1275184774115565,2.0988621033132424,1.3301457962200827,1.4222440828505734,2.8858003499630462,2.217416276004785,2.8310576472091213,1.4422939606314453,0.8062983794918025,1.5915867187370587,3.2804374098878504,3.196669656854193,2.5108048536149803,1.9987030993916475,0.9818665274173207,1.762523733992397,3.7184209296311876,1.7667642917096702,2.2985261536456374,0.7621841030333993,0.45729034035801824,2.7665221779478224,2.238546849804897,2.132863083135563,0.0
