,K_ABP,K_AFB,K_AFI,K_AFJ,K_AGF,K_AGH,K_AGL,K_AHV,K_AIA,K_AID,K_AIE,K_AJL,K_AKF,K_AKG,K_ALX,K_AMC,K_AMI,K_ANF,K_ANI,K_API,K_APJ,K_AQB,K_AQE,K_AQN,K_AQU,K_ARL,K_ARU,K_ASX,K_ATK,K_AWC,K_AWX,K_AXF,K_AYP,K_AZM,K_AZU,K_BAM,K_BBX,K_BDE,K_BES,K_BHH,K_BHO,K_BHQ,K_BIP,K_BIQ,K_BJU,K_BJX,K_BKM,K_BLA,K_BLJ,K_BLU
K_AKF,0.0,0.0,0.08162861966732908,0.0480158525502331,0.0480158525502331,0.0480158525502331,0.0480158525502331,0.0480158525502331,0.0480158525502331,0.0480158525502331,0.0480158525502331,0.0480158525502331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AKG,0.0,0.0,0.08162861966732908,0.0480158525502331,0.0480158525502331,0.0480158525502331,0.0480158525502331,0.0480158525502331,0.0480158525502331,0.0480158525502331,0.0480158525502331,0.0480158525502331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ALX,0.1550206971018799,0.1550206971018799,0.11374070265205066,0.13264355777786152,0.13315315095151797,0.13315315095151797,0.13315315095151797,0.13315315095151797,0.13264355777786152,0.13315315095151797,0.13264355777786152,0.13315315095151797,0.1550206971018799,0.1550206971018799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AMC,0.09910916084473856,0.09910916084473856,0.04732179199448801,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.09910916084473856,0.09910916084473856,0.08478648316881152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AMI,0.09910916084473856,0.09910916084473856,0.04481456321125882,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.09910916084473856,0.09910916084473856,0.08480154988753244,0.026868996108037998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ANF,0.09880002287418801,0.09880002287418801,0.04729717849176709,0.11869651554803472,0.11892833171718542,0.11892833171718542,0.11892833171718542,0.11892833171718542,0.11869651554803472,0.11892833171718542,0.11869651554803472,0.11892833171718542,0.09880002287418801,0.09880002287418801,0.08478648316881152,0.03297299734053347,0.026868996108037998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ANI,0.09880002287418801,0.09880002287418801,0.04729717849176709,0.11869651554803472,0.11892833171718542,0.11892833171718542,0.11892833171718542,0.11892833171718542,0.11869651554803472,0.11892833171718542,0.11869651554803472,0.11892833171718542,0.09880002287418801,0.09880002287418801,0.08478648316881152,0.03297299734053347,0.026868996108037998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_API,0.1420267538365394,0.1420267538365394,0.11479914004630662,0.11485534129133183,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.1420267538365394,0.1420267538365394,0.0709816860379054,0.08169933694762295,0.08202218649247127,0.08169933694762295,0.08169933694762295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_APJ,0.1420267538365394,0.1420267538365394,0.11479914004630662,0.11485534129133183,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.1420267538365394,0.1420267538365394,0.0709816860379054,0.08169933694762295,0.08202218649247127,0.08169933694762295,0.08169933694762295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AQB,0.1420267538365394,0.1420267538365394,0.11479914004630662,0.11485534129133183,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.1420267538365394,0.1420267538365394,0.0709816860379054,0.08169933694762295,0.08202218649247127,0.08169933694762295,0.08169933694762295,0.010754969882944354,0.010754969882944354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
