,K_ABP,K_AFB,K_AFI,K_AFJ,K_AGF,K_AGH,K_AGL,K_AHV,K_AIA,K_AID,K_AIE,K_AJL,K_AKF,K_AKG,K_ALX,K_AMC,K_AMI,K_ANF,K_ANI,K_API,K_APJ,K_AQB,K_AQE,K_AQN,K_AQU,K_ARL,K_ARU,K_ASX,K_ATK,K_AWC,K_AWX,K_AXF,K_AYP,K_AZM,K_AZU,K_BAM,K_BBX,K_BDE,K_BES,K_BHH,K_BHO,K_BHQ,K_BIP,K_BIQ,K_BJU,K_BJX,K_BKM,K_BLA,K_BLJ,K_BLU
K_AZM,0.47883442203597776,0.47883442203597776,54.39930113594024,0.5887434484566492,0.502347731396809,0.5052158179608592,0.502347731396809,0.4732282513414513,0.5887434484566492,0.502347731396809,0.5887434484566492,0.502347731396809,0.47883442203597776,0.47883442203597776,1.5975013197491155,2.6475567647224088,2.6295238622496733,3.3984291793325596,3.3984291793325596,3.815150779831625,3.4799717999164166,3.4799717999164166,3.4799717999164166,2.8152337587681937,2.84419517281737,2.8152337587681937,2.3113465354984064,2.154911354327548,2.2705626274660085,2.1682722449561367,1.6581708898514487,0.023693187369646644,0.023693187369646644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AZU,0.47883442203597776,0.47883442203597776,54.39930113594024,0.5887434484566492,0.502347731396809,0.5052158179608592,0.502347731396809,0.4732282513414513,0.5887434484566492,0.502347731396809,0.5887434484566492,0.502347731396809,0.47883442203597776,0.47883442203597776,1.5975013197491155,2.6475567647224088,2.6295238622496733,3.3984291793325596,3.3984291793325596,3.815150779831625,3.4799717999164166,3.4799717999164166,3.4799717999164166,2.8152337587681937,2.84419517281737,2.8152337587681937,2.3113465354984064,2.154911354327548,2.2705626274660085,2.1682722449561367,1.6581708898514487,0.023693187369646644,0.023693187369646644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_BAM,0.49259907592093827,0.49259907592093827,54.42299432330989,0.6092742300803082,0.5228785130204681,0.5257465995845183,0.5228785130204681,0.4937590329651105,0.6092742300803082,0.5228785130204681,0.6124366358262958,0.5228785130204681,0.49259907592093827,0.49259907592093827,1.5975013197491155,2.5571428650175987,2.539109962544863,3.2730998612846047,3.2730998612846047,3.674081383679762,3.354642481868461,3.354642481868461,3.354642481868461,2.6500316953378813,2.678993109387058,2.6500316953378813,2.157360301125459,2.0766035809582832,2.1402695804627077,2.0577419017553833,1.556345190567221,0.0,0.0,0.023693187369646644,0.023693187369646644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_BBX,2.6333195914022856,2.6333195914022856,29.795805443848465,2.793348426225433,2.7371238986178668,2.7371238986178668,2.7371238986178668,2.723030603273775,2.797030324729852,2.7371238986178668,2.793348426225433,2.7371238986178668,2.6324388574864273,2.6333195914022856,3.393467705154124,0.5654821878950178,0.5798301674965287,0.7272420965536311,0.7272420965536311,2.9498321937448075,2.7535814038962885,2.7535814038962885,2.7535814038962885,0.6213997972422985,0.6452833800138393,0.6213997972422985,1.0277909564032297,2.486067800400128,2.114009807864579,2.019912571213319,1.5217042686726068,2.3373625128140794,2.3373625128140794,2.4177539413848166,2.4177539413848166,2.3373625128140794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_BDE,2.400095334280455,2.400095334280455,33.29972276850028,2.554486041461993,2.487174238447944,2.487690032769965,2.487174238447944,2.4660881991298194,2.56051024963317,2.487174238447944,2.5568283511287513,2.487174238447944,2.40031964124476,2.400095334280455,2.5790684372734565,0.45854962198327276,0.4177998143953791,0.6203095306418861,0.6203095306418861,2.5544336481933785,2.4110339761521766,2.4110339761521766,2.4110339761521766,0.5930753857786667,0.6422726972552113,0.5930753857786667,1.055170340859041,2.365086549640781,1.7194789253027862,1.5885869733632443,1.0883270319185665,2.143356088753374,2.143356088753374,2.2474407046937577,2.2474407046937577,2.143356088753374,0.1758068489800629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_BES,2.5880454044692383,2.5880454044692383,46.519739706781614,2.407166577689684,2.300662315837976,2.3035304024020262,2.300662315837976,2.2815789687571666,2.407166577689684,2.300662315837976,2.4256443697487984,2.300662315837976,2.5889018622872264,2.5880454044692383,2.5248238645961663,2.072222796962827,1.876794143155169,2.3754358421676596,2.3754358421676596,0.615532798833465,0.6126366285025853,0.6126366285025853,0.6126366285025853,2.432828392633922,2.601951097271826,2.432828392633922,2.4151965280601475,0.8848737469493462,0.9447810453893667,1.0221539397532546,1.249558572732298,2.0625581787321297,2.0625581787321297,2.1666427946725135,2.1666427946725135,2.0625581787321297,2.2520560006625345,1.9342727212386044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_BHH,3.055202899025334,3.055202899025334,44.793655574039505,2.911870815093033,2.8761693844698035,2.8790374710338535,2.8761693844698035,2.854676925801261,2.909348723624371,2.8761693844698035,2.921719700464024,2.8761693844698035,3.0550219049719383,3.055202899025334,2.842322479055202,2.2634415345744725,2.1061545165038047,2.5846320505548346,2.5846320505548346,0.1304477192689092,0.0781468926051414,0.0781468926051414,0.0781468926051414,2.617235914822693,2.7754516847211415,2.617235914822693,2.5698464853746765,0.8061950979270366,0.9612145902559988,1.0675992543836956,1.200068202342623,2.6404513548081874,2.6404513548081874,2.7308652545129974,2.7308652545129974,2.6404513548081874,2.333915282677201,2.0973035889223195,0.47691942982652297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_BHO,3.7806601996097386,3.7806601996097386,45.44498159543383,3.6550256602336315,3.6193242296104025,3.622192316174453,3.6193242296104025,3.59783177094186,3.6525035687649705,3.6193242296104025,3.6629643252412967,3.6193242296104025,3.780479205556343,3.7806601996097386,3.105822077136194,2.5528957205330114,2.3906799091816184,2.807833431411197,2.807833431411197,0.18813488485109484,0.09810384709041786,0.09810384709041786,0.09810384709041786,2.860391463046109,3.132848489670773,2.860391463046109,2.9022812141812797,0.9118935032258065,1.1002609097789906,1.2066455739066875,1.3460415037772488,3.3405089254204783,3.3405089254204783,3.4654044128303636,3.4654044128303636,3.3405089254204783,2.6946480384219975,2.411278732717366,0.621822975076839,0.07591245215172902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_BHQ,2.9517041380543994,2.9517041380543994,44.74574053153668,2.813524626028884,2.7729398778406704,2.7758079644047204,2.7729398778406704,2.751447419172128,2.811002534560222,2.7729398778406704,2.823373511399875,2.7729398778406704,2.9515231440010035,2.9517041380543994,2.761423419529688,2.245614609003843,2.0883275909331758,2.566805124984205,2.566805124984205,0.1453339575074868,0.09303313084371898,0.09303313084371898,0.09303313084371898,2.588447944821206,2.746663714719654,2.588447944821206,2.5375845795490473,0.8116397850387232,0.9666592773676854,1.0730439414953823,1.1851819641040453,2.546404824195803,2.546404824195803,2.636818723900613,2.636818723900613,2.546404824195803,2.3128037175722396,2.072890551782524,0.4622463756775009,0.01488623823857758,0.09079869039030661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_BIP,2.530206594037102,2.530206594037102,45.3406638067021,2.5044642874971927,2.4546571576449483,2.4575059084621316,2.4546571576449483,2.4309432846823174,2.506867137017261,2.4546571576449483,2.5160867192352034,2.4546571576449483,2.528021562653769,2.530206594037102,2.6306177610152397,0.5159606207462932,0.41274525761413117,0.7106309883376953,0.7106309883376953,2.036996429980428,1.9460612766397176,1.9460612766397176,1.9460612766397176,1.0633665620075183,1.125044365571804,1.0633665620075183,1.086535318834699,1.7178892885065689,0.9609767952337964,0.8435542605645472,0.9799835946232738,2.1595216860344086,2.1595216860344086,2.273487016231333,2.273487016231333,2.1595216860344086,0.9625096112299866,0.7831516644462194,1.4314021795864371,1.6619493510176166,1.9211650828162865,1.6441224254469875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_BIQ,2.456430618241428,2.456430618241428,33.205345229813474,2.5055139069255405,2.460033844470545,2.460033844470545,2.460033844470545,2.4389725873744985,2.5096156927772797,2.460033844470545,2.5055139069255405,2.460033844470545,2.454245586858095,2.456430618241428,2.756285615668373,0.31261217449118656,0.4018188580270996,0.5072825420825886,0.5072825420825886,2.4434035860797527,2.328778097884351,2.328778097884351,2.328778097884351,0.9507030393971745,1.0123808429614602,0.9507030393971745,1.0000579827647242,2.116183491888897,1.4648265639120637,1.3032443600242603,1.2466923496734112,2.1343663904469024,2.1343663904469024,2.267288332032991,2.267288332032991,2.1343663904469024,0.8033399913098094,0.6964074253980643,1.7878919150850237,1.9384715009698503,2.2929277043687297,1.9140584638300542,0.19109283008100983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_BJU,2.539188688046679,2.539188688046679,33.205345229813474,2.581829574955528,2.5320224451032844,2.5320224451032844,2.5320224451032844,2.5083085721406526,2.5842324244755956,2.5320224451032844,2.581829574955528,2.5320224451032844,2.537003656663346,2.539188688046679,2.8627264882573957,0.3470316920446018,0.4362383755805148,0.5417020596360038,0.5417020596360038,2.4318974440085395,2.3172719558131374,2.3172719558131374,2.3172719558131374,0.9859331556509614,1.0476109592152472,0.9859331556509614,1.0352880990185112,2.0326448886847306,1.3548213815668757,1.2373988468976267,1.2725799051113806,2.198397566397336,2.198397566397336,2.331319507983425,2.331319507983425,2.198397566397336,0.844924792129661,0.7379922262179159,1.7776942176344648,1.9269653588986366,2.260197858814613,1.9091384333280077,0.1689289287016915,0.022163901379318333,0.0,0.0,0.0,0.0,0.0,0.0
K_BJX,2.539188688046679,2.539188688046679,33.205345229813474,2.581829574955528,2.5320224451032844,2.5320224451032844,2.5320224451032844,2.5083085721406526,2.5842324244755956,2.5320224451032844,2.581829574955528,2.5320224451032844,2.537003656663346,2.539188688046679,2.8627264882573957,0.3470316920446018,0.4362383755805148,0.5417020596360038,0.5417020596360038,2.4318974440085395,2.3172719558131374,2.3172719558131374,2.3172719558131374,0.9859331556509614,1.0476109592152472,0.9859331556509614,1.0352880990185112,2.0326448886847306,1.3548213815668757,1.2373988468976267,1.2725799051113806,2.198397566397336,2.198397566397336,2.331319507983425,2.331319507983425,2.198397566397336,0.844924792129661,0.7379922262179159,1.7776942176344648,1.9269653588986366,2.260197858814613,1.9091384333280077,0.1689289287016915,0.022163901379318333,0.0,0.0,0.0,0.0,0.0,0.0
K_BKM,2.539188688046679,2.539188688046679,33.205345229813474,2.581829574955528,2.5320224451032844,2.5320224451032844,2.5320224451032844,2.5083085721406526,2.5842324244755956,2.5320224451032844,2.581829574955528,2.5320224451032844,2.537003656663346,2.539188688046679,2.8627264882573957,0.3470316920446018,0.4362383755805148,0.5417020596360038,0.5417020596360038,2.4318974440085395,2.3172719558131374,2.3172719558131374,2.3172719558131374,0.9859331556509614,1.0476109592152472,0.9859331556509614,1.0352880990185112,2.0326448886847306,1.3548213815668757,1.2373988468976267,1.2725799051113806,2.198397566397336,2.198397566397336,2.331319507983425,2.331319507983425,2.198397566397336,0.844924792129661,0.7379922262179159,1.7776942176344648,1.9269653588986366,2.260197858814613,1.9091384333280077,0.1689289287016915,0.022163901379318333,0.0,0.0,0.0,0.0,0.0,0.0
K_BLA,2.539188688046679,2.539188688046679,33.205345229813474,2.581829574955528,2.5320224451032844,2.5320224451032844,2.5320224451032844,2.5083085721406526,2.5842324244755956,2.5320224451032844,2.581829574955528,2.5320224451032844,2.537003656663346,2.539188688046679,2.8627264882573957,0.3470316920446018,0.4362383755805148,0.5417020596360038,0.5417020596360038,2.4318974440085395,2.3172719558131374,2.3172719558131374,2.3172719558131374,0.9859331556509614,1.0476109592152472,0.9859331556509614,1.0352880990185112,2.0326448886847306,1.3548213815668757,1.2373988468976267,1.2725799051113806,2.198397566397336,2.198397566397336,2.331319507983425,2.331319507983425,2.198397566397336,0.844924792129661,0.7379922262179159,1.7776942176344648,1.9269653588986366,2.260197858814613,1.9091384333280077,0.1689289287016915,0.022163901379318333,0.0,0.0,0.0,0.0,0.0,0.0
K_BLJ,2.539188688046679,2.539188688046679,33.205345229813474,2.581829574955528,2.5320224451032844,2.5320224451032844,2.5320224451032844,2.5083085721406526,2.5842324244755956,2.5320224451032844,2.581829574955528,2.5320224451032844,2.537003656663346,2.539188688046679,2.8627264882573957,0.3470316920446018,0.4362383755805148,0.5417020596360038,0.5417020596360038,2.4318974440085395,2.3172719558131374,2.3172719558131374,2.3172719558131374,0.9859331556509614,1.0476109592152472,0.9859331556509614,1.0352880990185112,2.0326448886847306,1.3548213815668757,1.2373988468976267,1.2725799051113806,2.198397566397336,2.198397566397336,2.331319507983425,2.331319507983425,2.198397566397336,0.844924792129661,0.7379922262179159,1.7776942176344648,1.9269653588986366,2.260197858814613,1.9091384333280077,0.1689289287016915,0.022163901379318333,0.0,0.0,0.0,0.0,0.0,0.0
K_BLU,2.539188688046679,2.539188688046679,33.205345229813474,2.581829574955528,2.5320224451032844,2.5320224451032844,2.5320224451032844,2.5083085721406526,2.5842324244755956,2.5320224451032844,2.581829574955528,2.5320224451032844,2.537003656663346,2.539188688046679,2.8627264882573957,0.3470316920446018,0.4362383755805148,0.5417020596360038,0.5417020596360038,2.4318974440085395,2.3172719558131374,2.3172719558131374,2.3172719558131374,0.9859331556509614,1.0476109592152472,0.9859331556509614,1.0352880990185112,2.0326448886847306,1.3548213815668757,1.2373988468976267,1.2725799051113806,2.198397566397336,2.198397566397336,2.331319507983425,2.331319507983425,2.198397566397336,0.844924792129661,0.7379922262179159,1.7776942176344648,1.9269653588986366,2.260197858814613,1.9091384333280077,0.1689289287016915,0.022163901379318333,0.0,0.0,0.0,0.0,0.0,0.0
