Dataset Size,Average Hash Generation Time (seconds)
100,0.15210097233163347
200,0.283730222339121
300,0.44591945833235513
400,0.5534270276669607
500,0.7050787773332559
600,0.8153127499996723
700,0.9727816249990914
800,1.1886725556687452
900,1.3709326666624595
1000,1.4550286529993173
