,100
run_1,1.3898276666666665
run_2,1.3976866666666667
run_3,1.2801353333333334
run_4,1.4028383333333334
run_5,1.3411643333333334
run_6,1.4091843333333334
run_7,1.5986000000000002
run_8,1.441444333333333
